C:\Python27\python.exe J:/github_repos/HDAnalysis/HDAnalysis.py
ESubject                Freq  Process                  Path                                             Method    Subject
138-34-227-67-161         15  kube-controller-manager  /%UUID%/namespaces/%NAME%                        PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).RunKubernetesNamespaces.func1, 107', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/master.(*Controller).RunKubernetesNamespaces, 111', '/pkg/master.(*Controller).RunKubernetesNamespaces-fm, 98', 'runtime.goexit, 1998']
277-261-36-431-59         15  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).RunKubernetesService.func1, 120', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/master.(*Controller).RunKubernetesService, 123', '/pkg/master.(*Controller).RunKubernetesService-fm, 98', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAliceNotForbiddenOrUnauthorized, 555', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthModeAlwaysAllow, 406', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthModeAlwaysDeny, 504', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthorizationAttributeDetermination, 877', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestBobIsForbidden, 624', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestImpersonateIsForbidden, 730', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestKindAuthorization, 1041', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestNamespaceAuthorization, 943', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          2  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestRBAC, 383', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestReadOnlyAuthorization, 1125', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestUnknownUserIsUnauthorized, 668', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestWebhookTokenAuthenticator, 1184', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/master.TestMasterService, 384', 'testing.tRunner, 473', 'runtime.goexit, 1998']
277-261-36-431-59          1  kube-controller-manager  /%UUID%/namespaces/default                       GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/registry/namespace.(*storage).GetNamespace, 59', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 151', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/quota.TestQuota, 76', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAliceNotForbiddenOrUnauthorized, 555', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthModeAlwaysAllow, 406', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthModeAlwaysDeny, 504', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestAuthorizationAttributeDetermination, 877', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestBobIsForbidden, 624', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestImpersonateIsForbidden, 730', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestKindAuthorization, 1041', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestNamespaceAuthorization, 943', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          2  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestRBAC, 383', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestReadOnlyAuthorization, 1125', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestUnknownUserIsUnauthorized, 668', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/auth.TestWebhookTokenAuthenticator, 1184', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/framework.startMasterOrDie, 140', '/test/integration/framework.RunAMaster, 363', '/test/integration/master.TestMasterService, 384', 'testing.tRunner, 473', 'runtime.goexit, 1998']
138-34-227-67-161          1  kube-controller-manager  /%UUID%/namespaces/default                       PUT       ['/pkg/storage/etcd.(*etcdHelper).Create, 138', '/pkg/storage.(*Cacher).Create, 34', '/pkg/registry/generic/registry.(*Store).Create, 227', '/pkg/registry/namespace.(*storage).CreateNamespace, 67', '/pkg/master.(*Controller).CreateNamespaceIfNeeded, 161', '/pkg/master.(*Controller).UpdateKubernetesService, 132', '/pkg/master.(*Controller).Start, 94', '/pkg/master.New, 213', '/test/integration/quota.TestQuota, 76', 'testing.tRunner, 473', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/networkpolicies                          GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998              71  etcdWatch                /%UUID%/networkpolicies                          GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
441-416-293-205-187        9  kube-apiserver           /%UUID%/persistentvolumeclaims                   GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*Cacher).List, 293', '/pkg/registry/generic/registry.(*Store).ListPredicate, 205', '/pkg/registry/generic/registry.(*Store).List, 187', '/pkg/apiserver.ListResource.func1, 316', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
441-416-474-262-241       67  util                     /%UUID%/persistentvolumeclaims                   GET       ['/pkg/storage/etcd.(*etcdHelper).listEtcdNode, 441', '/pkg/storage/etcd.(*etcdHelper).List, 416', '/pkg/storage.(*cacherListerWatcher).List, 474', '/pkg/client/cache.(*Reflector).ListAndWatch, 262', '/pkg/storage.(*Cacher).startCaching, 241', '/pkg/storage.NewCacherFromConfig.func1.1, 210', '/pkg/util/wait.JitterUntil.func1, 86', '/pkg/util/wait.JitterUntil, 87', '/pkg/util/wait.Until, 49', '/pkg/storage.NewCacherFromConfig.func1, 213', 'runtime.goexit, 1998']
206-181-1998            1735  etcdWatch                /%UUID%/persistentvolumeclaims                   GET       ['/pkg/storage/etcd.(*etcdWatcher).etcdWatch.func2, 206', '/pkg/storage/etcd.(*etcdWatcher).etcdWatch, 181', 'runtime.goexit, 1998']
209-35-671-799-953       104  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            DELETE    ['/pkg/storage/etcd.(*etcdHelper).Delete, 209', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-194-35-671-799       104  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Delete, 194', '/pkg/storage.(*Cacher).Delete, 35', '/pkg/registry/generic/registry.(*Store).Delete, 671', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-36-623-799       104  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Delete, 623', '/pkg/apiserver.DeleteResource.func1.1, 799', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-261-36-431-146       106  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).Get, 261', '/pkg/storage.(*Cacher).Get, 36', '/pkg/registry/generic/registry.(*Store).Get, 431', '/pkg/apiserver.GetResource.func1, 146', '/pkg/apiserver.getResourceHandler.func1, 110', '/pkg/apiserver/metrics.InstrumentRouteFunc.func1, 101', '/vendor/github.com/emicklei/go-restful.(*Container).dispatch, 272', '/vendor/github.com/emicklei/go-restful.(*Container).(/vendor/github.com/emicklei/go-restful.dispatch)-fm, 120', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.(*ServeMux).ServeHTTP, 1910', '/pkg/apiserver.WithAuthorizationCheck.func1, 498', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/apiserver.WithImpersonation.func1, 420', 'net/http.HandlerFunc.ServeHTTP, 1618', '/pkg/api.NewRequestContextFilter.func1, 101', 'net/http.HandlerFunc.ServeHTTP, 1618', '/test/integration/framework.startMasterOrDie.func1, 132', 'net/http.HandlerFunc.ServeHTTP, 1618', 'net/http.serverHandler.ServeHTTP, 2081', 'net/http.(*conn).serve, 1472', 'runtime.goexit, 1998']
277-470-38-388-717       207  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
277-470-38-388-95        207  kube-apiserver           /%UUID%/persistentvolumeclaims/%NAME%            GET       ['/pkg/storage/etcd.(*etcdHelper).bodyAndExtractObj, 277', '/pkg/storage/etcd.(*etcdHelper).GuaranteedUpdate, 470', '/pkg/storage.(*Cacher).GuaranteedUpdate, 38', '/pkg/registry/generic/registry.(*Store).Update, 388', '/pkg/registry/persistentvolumeclaim/etcd.(*StatusREST).Update, 95', '/pkg/apiserver.UpdateResource.func1.2, 717', '/pkg/apiserver.finishRequest.func1, 953', 'runtime.goexit, 1998']
